timestamp_ms,setpoint_v,sensor_v
0,0.0000,0.0000
500,0.0000,0.0000
1000,0.0000,0.0000
1500,0.0000,0.0000
2000,0.0000,0.0000
2500,0.0000,0.0000
3010,2.5000,0.0000
3510,2.5000,0.0000
4010,2.5000,0.0129
4510,2.5000,0.0451
5010,2.5000,0.0669
5510,2.5000,0.0919
6010,2.5000,0.1136
6510,2.5000,0.1314
7010,2.5000,0.1773
7510,2.5000,0.1805
8010,2.5000,0.1974
8510,2.5000,0.2248
9010,2.5000,0.2361
9510,2.5000,0.2651
10010,2.5000,0.2869
10510,2.5000,0.3264
11010,2.5000,0.3409
11510,2.5000,0.3594
12010,2.5000,0.3731
12510,2.5000,0.3965
13010,2.5000,0.4247
13510,2.5000,0.4110
14010,2.5000,0.4561
14510,2.5000,0.4843
15010,2.5000,0.4956
15510,2.5000,0.5109
16010,2.5000,0.5391
16510,2.5000,0.5601
17010,2.5000,0.5697
17510,2.5000,0.5786
18010,2.5000,0.6149
18510,2.5000,0.6197
19010,2.5000,0.6431
19510,2.5000,0.6536
20010,2.5000,0.6568
20510,2.5000,0.6810
21010,2.5000,0.6930
21510,2.5000,0.7172
22010,2.5000,0.7341
22510,2.5000,0.7567
23010,2.5000,0.7688
23510,2.5000,0.7930
24010,2.5000,0.7970
24510,2.5000,0.8115
25010,2.5000,0.8325
25510,2.5000,0.8381
26010,2.5000,0.8639
26510,2.5000,0.8792
27010,2.5000,0.8889
27510,2.5000,0.8937
28010,2.5000,0.9042
28510,2.5000,0.9203
29010,2.5000,0.9429
29510,2.5000,0.9396
30010,2.5000,0.9670
30510,2.5000,0.9767
31010,2.5000,0.9896
31510,2.5000,1.0033
32010,2.5000,1.0146
32510,2.5000,1.0275
33010,2.5000,1.0363
33510,2.5000,1.0444
34010,2.5000,1.0653
34510,2.5000,1.0807
35010,2.5000,1.0887
35510,2.5000,1.1064
36010,2.5000,1.1258
36510,2.5000,1.1330
37010,2.5000,1.1451
37510,2.5000,1.1475
38010,2.5000,1.1604
38510,2.5000,1.1733
39010,2.5000,1.1862
39510,2.5000,1.1967
40010,2.5000,1.2104
40510,2.5000,1.2040
41010,2.5000,1.2201
41510,2.5000,1.2370
42010,2.5000,1.2692
42510,2.5000,1.2555
43010,2.5000,1.2652
43510,2.5000,1.2716
44010,2.5000,1.2870
44510,2.5000,1.2902
45010,2.5000,1.3256
45510,2.5000,1.3031
46010,2.5000,1.3160
46510,2.5000,1.3289
47010,2.5000,1.3410
47510,2.5000,1.3401
48010,2.5000,1.3506
48510,2.5000,1.3434
49010,2.5000,1.3796
49510,2.5000,1.3764
50010,2.5000,1.3796
50510,2.5000,1.3998
51010,2.5000,1.3949
51510,2.5000,1.4062
52010,2.5000,1.4207
52510,2.5000,1.4191
53010,2.5000,1.4312
53510,2.5000,1.4336
54010,2.5000,1.4183
54510,2.5000,1.4312
55010,2.5000,1.4433
55510,2.5000,1.4441
56010,2.5000,1.4441
56510,2.5000,1.4562
57010,2.5000,1.4659
57510,2.5000,1.4642
58010,2.5000,1.4804
58510,2.5000,1.4836
59010,2.5000,1.4884
59510,2.5000,1.4908
60010,2.5000,1.5029
60510,2.5000,1.5078
61010,2.5000,1.5142
61510,2.5000,1.5311
62010,2.5000,1.5336
62510,2.5000,1.5344
63010,2.5000,1.5344
63510,2.5000,1.5344
64010,2.5000,1.5473
64510,2.5000,1.5360
65010,2.5000,1.5577
65510,2.5000,1.5601
66010,2.5000,1.5738
66510,2.5000,1.5698
67010,2.5000,1.5771
67510,2.5000,1.5827
68010,2.5000,1.6045
68510,2.5000,1.5956
69010,2.5000,1.6004
69510,2.5000,1.6029
70010,2.5000,1.6004
70510,2.5000,1.6166
71010,2.5000,1.6319
71510,2.5000,1.6141
72010,2.5000,1.6174
72510,2.5000,1.6335
73010,2.5000,1.6238
73510,2.5000,1.6423
74010,2.5000,1.6246
74510,2.5000,1.6625
75010,2.5000,1.6496
75510,2.5000,1.6577
76010,2.5000,1.6673
76510,2.5000,1.6657
77010,2.5000,1.6738
77510,2.5000,1.6754
78010,2.5000,1.6770
78510,2.5000,1.6834
79010,2.5000,1.6883
79510,2.5000,1.6907
80010,2.5000,1.6931
80510,2.5000,1.7028
81010,2.5000,1.7004
81510,2.5000,1.6979
82010,2.5000,1.7141
82510,2.5000,1.7141
83010,2.5000,1.7141
83510,2.5000,1.7157
84010,2.5000,1.7318
84510,2.5000,1.7286
85010,2.5000,1.7262
85510,2.5000,1.7358
86010,2.5000,1.7366
86510,2.5000,1.7415
87010,2.5000,1.7407
87510,2.5000,1.7286
88010,2.5000,1.7463
88510,2.5000,1.7511
89010,2.5000,1.7415
89510,2.5000,1.7584
90010,2.5000,1.7568
90510,2.5000,1.7697
91010,2.5000,1.7560
91510,2.5000,1.7721
92010,2.5000,1.7737
92510,2.5000,1.7681
93010,2.5000,1.7705
93510,2.5000,1.8051
94010,2.5000,1.7874
94510,2.5000,1.7842
95010,2.5000,1.7769
95510,2.5000,1.7995
96010,2.5000,1.7971
96510,2.5000,1.8156
97010,2.5000,1.7979
97510,2.5000,1.7963
98010,2.5000,1.8164
98510,2.5000,1.8124
99010,2.5000,1.8108
99510,2.5000,1.8156
100010,2.5000,1.7971
100510,2.5000,1.8261
101010,2.5000,1.8253
101510,2.5000,1.8237
102010,2.5000,1.8221
102510,2.5000,1.8285
103010,2.5000,1.8390
103510,2.5000,1.8406
104010,2.5000,1.8358
104510,2.5000,1.8366
105010,2.5000,1.8358
105510,2.5000,1.8325
106010,2.5000,1.8511
106510,2.5000,1.8325
107010,2.5000,1.8438
107510,2.5000,1.8438
108010,2.5000,1.8486
108510,2.5000,1.8478
109010,2.5000,1.8511
109510,2.5000,1.8438
110010,2.5000,1.8591
110510,2.5000,1.8615
111010,2.5000,1.8599
111510,2.5000,1.8583
112010,2.5000,1.8591
112510,2.5000,1.8696
113010,2.5000,1.8583
113510,2.5000,1.8752
114010,2.5000,1.8696
114510,2.5000,1.8640
115010,2.5000,1.8712
115510,2.5000,1.8768
116010,2.5000,1.8696
116510,2.5000,1.8881
117010,2.5000,1.8833
117510,2.5000,1.8833
118010,2.5000,1.8841
118510,2.5000,1.8817
119010,2.5000,1.9083
119510,2.5000,1.8873
120010,2.5000,1.8849
120510,2.5000,1.8914
121010,2.5000,1.8930
121510,2.5000,1.8946
122010,2.5000,1.8849
122510,2.5000,1.8946
123010,2.5000,1.8954
123510,2.5000,1.8865
124010,2.5000,1.8938
124510,2.5000,1.8954
125010,2.5000,1.9075
125510,2.5000,1.9212
126010,2.5000,1.9075
126510,2.5000,1.9075
127010,2.5000,1.9075
127510,2.5000,1.9059
128010,2.5000,1.9075
128510,2.5000,1.9099
129010,2.5000,1.8881
129510,2.5000,1.9010
130010,2.5000,1.9131
130510,2.5000,1.9212
131010,2.5000,1.9188
131510,2.5000,1.9107
132010,2.5000,1.9212
132510,2.5000,1.9139
133010,2.5000,1.9212
133510,2.5000,1.9155
134010,2.5000,1.9131
134510,2.5000,1.9155
135010,2.5000,1.9381
135510,2.5000,1.9188
136010,2.5000,1.9268
136510,2.5000,1.9268
137010,2.5000,1.9292
137510,2.5000,1.9333
138010,2.5000,1.9470
138510,2.5000,1.9316
139010,2.5000,1.9292
139510,2.5000,1.9260
