timestamp_ms,ref_v,u_v,sensor_v_avg,error,p_term,i_term,d_term,sat
25576,1.7000,0.0078,0.8486,0.85143,-12.90163,12.90939,0.00000,0
26076,1.7000,0.0000,0.8502,0.84982,-12.92613,12.91714,0.00000,1
26576,1.7000,0.0355,0.8478,0.85223,-12.88938,12.92490,0.00000,0
27076,1.7000,0.0555,0.8470,0.85304,-12.87712,12.93267,0.00000,0
27576,1.7000,0.0511,0.8478,0.85223,-12.88938,12.94044,0.00000,0
28076,1.7000,0.1079,0.8445,0.85546,-12.84037,12.94822,0.00000,0
28576,1.7000,0.0911,0.8462,0.85385,-12.86487,12.95601,0.00000,0
29076,1.7000,0.0989,0.8462,0.85385,-12.86487,12.96379,0.00000,0
29576,1.7000,0.1067,0.8462,0.85385,-12.86487,12.97157,0.00000,0
30076,1.7000,0.1267,0.8453,0.85465,-12.85262,12.97936,0.00000,0
30576,1.7000,0.1223,0.8462,0.85385,-12.86487,12.98715,0.00000,0
31076,1.7000,0.1423,0.8453,0.85465,-12.85262,12.99493,0.00000,0
31576,1.7000,0.1256,0.8470,0.85304,-12.87712,13.00271,0.00000,0
32076,1.7000,0.1334,0.8470,0.85304,-12.87712,13.01049,0.00000,0
32576,1.7000,0.1411,0.8470,0.85304,-12.87712,13.01826,0.00000,0
33076,1.7000,0.1244,0.8486,0.85143,-12.90163,13.02603,0.00000,0
33576,1.7000,0.1322,0.8486,0.85143,-12.90163,13.03379,0.00000,0
34076,1.7000,0.1277,0.8494,0.85062,-12.91388,13.04155,0.00000,0
34576,1.7000,0.0987,0.8518,0.84821,-12.95064,13.04929,0.00000,0
35076,1.7000,0.1677,0.8478,0.85223,-12.88938,13.05704,0.00000,0
35576,1.7000,0.1754,0.8478,0.85223,-12.88938,13.06481,0.00000,0
36076,1.7000,0.1832,0.8478,0.85223,-12.88938,13.07257,0.00000,0
36576,1.7000,0.2155,0.8462,0.85385,-12.86487,13.08035,0.00000,0
37076,1.7000,0.2110,0.8470,0.85304,-12.87712,13.08813,0.00000,0
37576,1.7000,0.2188,0.8470,0.85304,-12.87712,13.09590,0.00000,0
38076,1.7000,0.1898,0.8494,0.85062,-12.91388,13.10366,0.00000,0
38576,1.7000,0.2220,0.8478,0.85223,-12.88938,13.11142,0.00000,0
39076,1.7000,0.2298,0.8478,0.85223,-12.88938,13.11919,0.00000,0
39576,1.7000,0.2376,0.8478,0.85223,-12.88938,13.12696,0.00000,0
40076,1.7000,0.1963,0.8510,0.84901,-12.93839,13.13471,0.00000,0
40576,1.7000,0.1918,0.8518,0.84821,-12.95064,13.14245,0.00000,0
41076,1.7000,0.1750,0.8534,0.84659,-12.97514,13.15017,0.00000,0
41576,1.7000,0.1827,0.8534,0.84659,-12.97514,13.15788,0.00000,0
42076,1.7000,0.1905,0.8534,0.84659,-12.97514,13.16560,0.00000,0
42576,1.7000,0.1982,0.8534,0.84659,-12.97514,13.17332,0.00000,0
43076,1.7000,0.2304,0.8518,0.84821,-12.95064,13.18104,0.00000,0
43576,1.7000,0.2136,0.8534,0.84659,-12.97514,13.18876,0.00000,0
44076,1.7000,0.2704,0.8502,0.84982,-12.92613,13.19649,0.00000,0
44576,1.7000,0.2658,0.8510,0.84901,-12.93839,13.20424,0.00000,0
45076,1.7000,0.2858,0.8502,0.84982,-12.92613,13.21198,0.00000,0
45576,1.7000,0.3181,0.8486,0.85143,-12.90163,13.21973,0.00000,0
46076,1.7000,0.3381,0.8478,0.85223,-12.88938,13.22749,0.00000,0
46576,1.7000,0.3091,0.8502,0.84982,-12.92613,13.23525,0.00000,0
47076,1.7000,0.3046,0.8510,0.84901,-12.93839,13.24299,0.00000,0
47576,1.7000,0.2878,0.8526,0.84740,-12.96289,13.25072,0.00000,0
48076,1.7000,0.2710,0.8542,0.84579,-12.98739,13.25844,0.00000,0
48576,1.7000,0.2788,0.8542,0.84579,-12.98739,13.26615,0.00000,0
49076,1.7000,0.2374,0.8574,0.84256,-13.03640,13.27384,0.00000,0
49576,1.7000,0.2574,0.8566,0.84337,-13.02415,13.28152,0.00000,0
50076,1.7000,0.2405,0.8582,0.84176,-13.04866,13.28920,0.00000,0
50576,1.7000,0.2237,0.8599,0.84015,-13.07316,13.29687,0.00000,0
51076,1.7000,0.1946,0.8623,0.83773,-13.10992,13.30451,0.00000,0
51576,1.7000,0.2022,0.8623,0.83773,-13.10992,13.31215,0.00000,0
52076,1.7000,0.1854,0.8639,0.83612,-13.13442,13.31978,0.00000,0
52576,1.7000,0.1930,0.8639,0.83612,-13.13442,13.32740,0.00000,0
53076,1.7000,0.2006,0.8639,0.83612,-13.13442,13.33502,0.00000,0
53576,1.7000,0.2327,0.8623,0.83773,-13.10992,13.34264,0.00000,0
54076,1.7000,0.2404,0.8623,0.83773,-13.10992,13.35028,0.00000,0
54576,1.7000,0.2112,0.8647,0.83531,-13.14667,13.35790,0.00000,0
55076,1.7000,0.2188,0.8647,0.83531,-13.14667,13.36552,0.00000,0
55576,1.7000,0.2142,0.8655,0.83451,-13.15893,13.37313,0.00000,0
56076,1.7000,0.2586,0.8631,0.83692,-13.12217,13.38074,0.00000,0
56576,1.7000,0.2539,0.8639,0.83612,-13.13442,13.38837,0.00000,0
57076,1.7000,0.2738,0.8631,0.83692,-13.12217,13.39599,0.00000,0
57576,1.7000,0.2814,0.8631,0.83692,-13.12217,13.40362,0.00000,0
58076,1.7000,0.2646,0.8647,0.83531,-13.14667,13.41124,0.00000,0
58576,1.7000,0.2722,0.8647,0.83531,-13.14667,13.41885,0.00000,0
59076,1.7000,0.2553,0.8663,0.83370,-13.17118,13.42646,0.00000,0
59576,1.7000,0.2996,0.8639,0.83612,-13.13442,13.43407,0.00000,0
60076,1.7000,0.3073,0.8639,0.83612,-13.13442,13.44169,0.00000,0
60576,1.7000,0.3271,0.8631,0.83692,-13.12217,13.44931,0.00000,0
61076,1.7000,0.3103,0.8647,0.83531,-13.14667,13.45693,0.00000,0
61576,1.7000,0.3301,0.8639,0.83612,-13.13442,13.46455,0.00000,0
62076,1.7000,0.3377,0.8639,0.83612,-13.13442,13.47217,0.00000,0
62576,1.7000,0.3454,0.8639,0.83612,-13.13442,13.47979,0.00000,0
63076,1.7000,0.3652,0.8631,0.83692,-13.12217,13.48741,0.00000,0
63576,1.7000,0.3361,0.8655,0.83451,-13.15893,13.49503,0.00000,0
64076,1.7000,0.3560,0.8647,0.83531,-13.14667,13.50264,0.00000,0
64576,1.7000,0.3513,0.8655,0.83451,-13.15893,13.51025,0.00000,0
65076,1.7000,0.3467,0.8663,0.83370,-13.17118,13.51785,0.00000,0
65576,1.7000,0.3543,0.8663,0.83370,-13.17118,13.52545,0.00000,0
66076,1.7000,0.3251,0.8687,0.83128,-13.20794,13.53304,0.00000,0
66576,1.7000,0.3572,0.8671,0.83289,-13.18343,13.54062,0.00000,0
67076,1.7000,0.3525,0.8679,0.83209,-13.19568,13.54821,0.00000,0
67576,1.7000,0.3846,0.8663,0.83370,-13.17118,13.55580,0.00000,0
68076,1.7000,0.3555,0.8687,0.83128,-13.20794,13.56339,0.00000,0
68576,1.7000,0.3630,0.8687,0.83128,-13.20794,13.57096,0.00000,0
69076,1.7000,0.3951,0.8671,0.83289,-13.18343,13.57855,0.00000,0
69576,1.7000,0.3905,0.8679,0.83209,-13.19568,13.58613,0.00000,0
70076,1.7000,0.4103,0.8671,0.83289,-13.18343,13.59372,0.00000,0
70576,1.7000,0.4056,0.8679,0.83209,-13.19568,13.60131,0.00000,0
71076,1.7000,0.4745,0.8639,0.83612,-13.13442,13.60891,0.00000,0
71576,1.7000,0.4576,0.8655,0.83451,-13.15893,13.61652,0.00000,0
72076,1.7000,0.4529,0.8663,0.83370,-13.17118,13.62413,0.00000,0
72576,1.7000,0.4360,0.8679,0.83209,-13.19568,13.63172,0.00000,0
73076,1.7000,0.4436,0.8679,0.83209,-13.19568,13.63930,0.00000,0
73576,1.7000,0.4757,0.8663,0.83370,-13.17118,13.64689,0.00000,0
74076,1.7000,0.4711,0.8671,0.83289,-13.18343,13.65449,0.00000,0
74576,1.7000,0.4909,0.8663,0.83370,-13.17118,13.66208,0.00000,0
75076,1.7000,0.4862,0.8671,0.83289,-13.18343,13.66968,0.00000,0
75576,1.7000,0.4938,0.8671,0.83289,-13.18343,13.67727,0.00000,0
76076,1.7000,0.4647,0.8695,0.83048,-13.22019,13.68485,0.00000,0
76576,1.7000,0.4722,0.8695,0.83048,-13.22019,13.69242,0.00000,0
77076,1.7000,0.5043,0.8679,0.83209,-13.19568,13.69999,0.00000,0
77576,1.7000,0.4996,0.8687,0.83128,-13.20794,13.70757,0.00000,0
78076,1.7000,0.5562,0.8655,0.83451,-13.15893,13.71516,0.00000,0
78576,1.7000,0.5638,0.8655,0.83451,-13.15893,13.72277,0.00000,0
79076,1.7000,0.5469,0.8671,0.83289,-13.18343,13.73037,0.00000,0
79576,1.7000,0.5300,0.8687,0.83128,-13.20794,13.73795,0.00000,0
80076,1.7000,0.5253,0.8695,0.83048,-13.22019,13.74552,0.00000,0
80576,1.7000,0.5329,0.8695,0.83048,-13.22019,13.75309,0.00000,0
81076,1.7000,0.5405,0.8695,0.83048,-13.22019,13.76066,0.00000,0
81576,1.7000,0.5603,0.8687,0.83128,-13.20794,13.76823,0.00000,0
82076,1.7000,0.5434,0.8703,0.82967,-13.23244,13.77580,0.00000,0
82576,1.7000,0.5754,0.8687,0.83128,-13.20794,13.78337,0.00000,0
83076,1.7000,0.5340,0.8719,0.82806,-13.25694,13.79093,0.00000,0
83576,1.7000,0.5538,0.8711,0.82886,-13.24469,13.79848,0.00000,0
84076,1.7000,0.5613,0.8711,0.82886,-13.24469,13.80604,0.00000,0
84576,1.7000,0.5689,0.8711,0.82886,-13.24469,13.81359,0.00000,0
85076,1.7000,0.5887,0.8703,0.82967,-13.23244,13.82115,0.00000,0
85576,1.7000,0.5963,0.8703,0.82967,-13.23244,13.82871,0.00000,0
86076,1.7000,0.6283,0.8687,0.83128,-13.20794,13.83628,0.00000,0
86576,1.7000,0.6237,0.8695,0.83048,-13.22019,13.84385,0.00000,0
87076,1.7000,0.6312,0.8695,0.83048,-13.22019,13.85142,0.00000,0
87576,1.7000,0.6143,0.8711,0.82886,-13.24469,13.85898,0.00000,0
88076,1.7000,0.6709,0.8679,0.83209,-13.19568,13.86655,0.00000,0
88576,1.7000,0.6049,0.8727,0.82725,-13.26920,13.87412,0.00000,0
89076,1.7000,0.6125,0.8727,0.82725,-13.26920,13.88166,0.00000,0
89576,1.7000,0.6323,0.8719,0.82806,-13.25694,13.88920,0.00000,0
90076,1.7000,0.6153,0.8736,0.82645,-13.28145,13.89674,0.00000,0
90576,1.7000,0.5861,0.8760,0.82403,-13.31821,13.90426,0.00000,0
91076,1.7000,0.5691,0.8776,0.82242,-13.34271,13.91176,0.00000,0
91576,1.7000,0.5275,0.8808,0.81919,-13.39172,13.91924,0.00000,0
92076,1.7000,0.5227,0.8816,0.81839,-13.40397,13.92671,0.00000,0
92576,1.7000,0.5302,0.8816,0.81839,-13.40397,13.93417,0.00000,0
93076,1.7000,0.5131,0.8832,0.81678,-13.42848,13.94162,0.00000,0
93576,1.7000,0.5696,0.8800,0.82000,-13.37947,13.94907,0.00000,0
94076,1.7000,0.5771,0.8800,0.82000,-13.37947,13.95655,0.00000,0
94576,1.7000,0.5600,0.8816,0.81839,-13.40397,13.96402,0.00000,0
95076,1.7000,0.5675,0.8816,0.81839,-13.40397,13.97147,0.00000,0
95576,1.7000,0.5995,0.8800,0.82000,-13.37947,13.97894,0.00000,0
