timestamp_ms,ref_v,u_v,sensor_v_avg,error,p_term,i_term,d_term,sat
5500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
6000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
6500,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
7000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
7500,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
8000,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
8500,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
9000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
9500,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
10000,1.7000,0.8555,0.8445,0.85546,0.85546,0.00000,0.00000,0
10500,1.7000,0.8555,0.8445,0.85546,0.85546,0.00000,0.00000,0
11000,1.7000,0.8555,0.8445,0.85546,0.85546,0.00000,0.00000,0
11500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
12000,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
12500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
13000,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
13500,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
14000,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
14500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
15000,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
15500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
16000,1.7000,0.8595,0.8405,0.85949,0.85949,0.00000,0.00000,0
16500,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
17000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
17500,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
18000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
18500,1.7000,0.8555,0.8445,0.85546,0.85546,0.00000,0.00000,0
19000,1.7000,0.8547,0.8453,0.85465,0.85465,0.00000,0.00000,0
19500,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
20000,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
20500,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
21000,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
21500,1.7000,0.8530,0.8470,0.85304,0.85304,0.00000,0.00000,0
22000,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
22500,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
23000,1.7000,0.8538,0.8462,0.85385,0.85385,0.00000,0.00000,0
23500,1.7000,0.8555,0.8445,0.85546,0.85546,0.00000,0.00000,0
24000,1.7000,0.8563,0.8437,0.85626,0.85626,0.00000,0.00000,0
24500,1.7000,0.8611,0.8389,0.86110,0.86110,0.00000,0.00000,0
25000,1.7000,0.8603,0.8397,0.86029,0.86029,0.00000,0.00000,0
25500,1.7000,0.8595,0.8405,0.85949,0.85949,0.00000,0.00000,0
26000,1.7000,0.8619,0.8381,0.86190,0.86190,0.00000,0.00000,0
26500,1.7000,0.8611,0.8389,0.86110,0.86110,0.00000,0.00000,0
27000,1.7000,0.8603,0.8397,0.86029,0.86029,0.00000,0.00000,0
27500,1.7000,0.8603,0.8397,0.86029,0.86029,0.00000,0.00000,0
28000,1.7000,0.8595,0.8405,0.85949,0.85949,0.00000,0.00000,0
28500,1.7000,0.8579,0.8421,0.85788,0.85788,0.00000,0.00000,0
29000,1.7000,0.8571,0.8429,0.85707,0.85707,0.00000,0.00000,0
29500,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
30000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
30500,1.7000,0.8530,0.8470,0.85304,0.85304,0.00000,0.00000,0
31000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
31500,1.7000,0.8506,0.8494,0.85062,0.85062,0.00000,0.00000,0
32000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
32500,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
33000,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
33500,1.7000,0.8530,0.8470,0.85304,0.85304,0.00000,0.00000,0
34000,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
34500,1.7000,0.8530,0.8470,0.85304,0.85304,0.00000,0.00000,0
35000,1.7000,0.8530,0.8470,0.85304,0.85304,0.00000,0.00000,0
35500,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
36000,1.7000,0.8506,0.8494,0.85062,0.85062,0.00000,0.00000,0
36500,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
37000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
37500,1.7000,0.8522,0.8478,0.85223,0.85223,0.00000,0.00000,0
38000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
38500,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
39000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
39500,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
40000,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
40500,1.7000,0.8514,0.8486,0.85143,0.85143,0.00000,0.00000,0
